pdc mauiShape  1700209   {Class 3}				OTHER_ROADS   48
pdc mauiShape  1700210   {Class 4}				OTHER_ROADS   49
pdc mauiShape  1700211   {Trail, other than 4WD}		TRAILS	      40
pdc mauiShape  1700212   {Trail, 4WD}				TRAILS	      51
pdc mauiShape  1700213   Footbridge  	       	       	       	TRAILS	      52
pdc mauiShape  1700214   {Road ferry crossing}       	       	WATER	      53
pdc mauiShape  1700215   {Perimeter of parking area}	       	URBAN	      54
pdc mauiShape  1700217   {Class 3, divided by centerline}	OTHER_ROADS   55
pdc mauiShape  1700218   {Class 3, divided, lanes separated}	OTHER_ROADS   56
pdc mauiShape  1700222   {Road in transition}			OTHER_ROADS   57
pdc mauiShape  1700401   {Traffic circle}              	        ROADS	      58
pdc mauiShape  1700402   {Cloverleaf or interchange} 	       	ROADS	      59
pdc mauiShape  1700405   {Nonstandard section or road}       	OTHER_ROADS   60
pdc oahuShape  0   Ocean                                WATER          0
pdc oahuShape  1   {Shrub & Brush Rangeland}            SHRUB          1
pdc oahuShape  2   {Forested Wetland}                   WETLANDS       2
pdc oahuShape  3   {Herbaceous Rangeland}               GRASSLAND      3
pdc oahuShape  4   {Mixed Rangelands}                   SHRUB          4
pdc oahuShape  5   {Transitional Areas}                 BARREN         5
pdc oahuShape  6   {Trans., Comm., & Utilities}         URBAN          6
pdc oahuShape  7   {Coniferous Forest Land}             FOREST         7
pdc oahuShape  8   {Other Urban}                        URBAN          8
pdc oahuShape  9   {Bays & Estuaries}                   WATER          9
pdc oahuShape 10   {Strip Mines, Quarries, Gravel Pits} BARREN        10
pdc oahuShape 11   Residential                          URBAN         11
pdc oahuShape 12   {Commercial & Services}              URBAN         12
pdc oahuShape 13   Industrial                           URBAN         13
pdc oahuShape 14   {Mixed Urban}                        URBAN         14
pdc oahuShape 15   {Cropland & Pasture}                 AGRICULTURE   15
pdc oahuShape 16   {Non-Forested Wetland}               WETLANDS      16
pdc oahuShape 17   Commercial                           URBAN         17
pdc oahuShape 18   {Other Agricultural Land}            AGRICULTURE   18
pdc oahuShape 19   Residential                          URBAN         19
pdc oahuShape 20   Reservoirs                           WATER         20
pdc oahuShape 21   Orchards                             FOREST        21
pdc oahuShape 301   {Left Bank (of stream/river)}       DRAINAGE      -2
pdc oahuShape 302   Manmade                             DRAINAGE      -2
pdc oahuShape 305   Stream                              DRAINAGE      -2
pdc oahuShape 307   Aqueduct                            DRAINAGE      -2
pdc oahuShape 309   Ditch                               DRAINAGE      -2
